Bartosz,8000,1
eeee,7000,1
ttt,6850,1
plp,5950,1
5950,1,1
9750,2,2
Bartosz,5500,2
Bartosz,2220,2
123,8250,3
123,6450,3
,4500,3
Lukasz,3000,3
,2850,3
